# Updated 8/16/13 7:30 AM by Minecraft 1.6.2
# victim name | ban date | banned by | banned until | reason

demonelite119|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
mrgreen97|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
agenttx|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
pandamandan123|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
or99|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
assatronic|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
1500nick|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
chinny11|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
travman11|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
athos101|2012-08-15 05:43:40 -0400|(Unknown)|Forever|Banned by an operator.
tjmaster1999|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
deadmankillin|2012-08-15 05:42:46 -0400|(Unknown)|Forever|Banned by an operator.
deadlydiarrhea|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
java122|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
mohawkman7|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
eli_vance|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
russianninja|2012-08-12 01:42:40 -0400|(Unknown)|Forever|Banned by an operator.
domdomdomdom14|2012-08-15 05:46:31 -0400|(Unknown)|Forever|Banned by an operator.
mrkillbot|2012-08-15 05:41:13 -0400|(Unknown)|Forever|Banned by an operator.
dimensionalrum|2012-08-15 05:43:08 -0400|(Unknown)|Forever|Banned by an operator.
rtas_vadum|2012-08-15 05:44:07 -0400|(Unknown)|Forever|Banned by an operator.
wackojacko195|2012-08-17 00:49:41 -0400|(Unknown)|Forever|Banned by an operator.
jonty9|2012-08-20 02:20:16 -0400|(Unknown)|Forever|Banned by an operator.
roperdaripper|2012-08-20 14:39:17 -0400|(Unknown)|Forever|Banned by an operator.
kaianderson|2012-08-21 05:03:10 -0400|(Unknown)|Forever|Banned by an operator.
eliaspot|2012-08-21 09:00:38 -0400|(Unknown)|Forever|Banned by an operator.
gger1123|2012-08-21 09:00:39 -0400|(Unknown)|Forever|Banned by an operator.
ausilo3|2012-08-22 16:11:29 -0400|(Unknown)|Forever|Banned by an operator.
nstadler|2012-08-24 21:29:33 -0400|(Unknown)|Forever|Banned by an operator.
roostermthis|2012-08-24 21:29:45 -0400|(Unknown)|Forever|Banned by an operator.
khcmr|2012-09-01 17:44:40 -0400|(Unknown)|Forever|Banned by an operator.
